Dataset,Prior,Alpha,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
3law,min,0.75,CACTUS,3,0.58,1.035458937,0.1511111111,0.382318693,0.2566666667
3law,min,0.75,CACTUS,4,0.62,1.064427638,0.1444444444,0.4679283356,0.2516666667
3law,min,0.99,CACTUS,0,0.62,1.073836795,0.1266666667,0.4587405158,0.24
3law,min,0.99,CACTUS,1,0.48,1.057159183,0.09555555556,0.4842221476,0.2044444444
3law,min,0.99,CACTUS,2,0.64,1.055221444,0.14,0.4636565854,0.2494444444
3law,min,0.99,CACTUS,3,0.6,1.039494241,0.1355555556,0.4171772294,0.2422222222
3law,min,0.99,CACTUS,4,0.62,1.070880645,0.1088888889,0.5174072329,0.2172222222
3law,min,0.01,CausalCACTUS,0,0.36,1.051997777,0.6755555556,0.120419513,0.7027777778
3law,min,0.01,CausalCACTUS,1,0.26,1.071023993,0.7688888889,0.09303652342,0.7905555556
3law,min,0.01,CausalCACTUS,2,0.26,1.05716799,0.76,0.1044510118,0.7822222222
3law,min,0.01,CausalCACTUS,3,0.32,1.043378391,0.7266666667,0.117528024,0.7433333333
3law,min,0.01,CausalCACTUS,4,0.34,1.062395336,0.6911111111,0.1414010888,0.7172222222
3law,min,0.25,CausalCACTUS,0,0.6,1.032755206,0.4711111111,0.2216363161,0.5044444444
3law,min,0.25,CausalCACTUS,1,0.52,1.053737822,0.5333333333,0.2015240994,0.5755555556
3law,min,0.25,CausalCACTUS,2,0.68,1.040107708,0.3822222222,0.2841406751,0.4311111111
3law,min,0.25,CausalCACTUS,3,0.72,1.028043819,0.3733333333,0.2802228404,0.4094444444
3law,min,0.25,CausalCACTUS,4,0.7,1.035781865,0.3933333333,0.2940534849,0.4372222222
3law,min,0.50,CausalCACTUS,0,0.7,1.040401599,0.3866666667,0.2667717937,0.425
3law,min,0.50,CausalCACTUS,1,0.6,1.057142843,0.4488888889,0.2344253314,0.5027777778
3law,min,0.50,CausalCACTUS,2,0.68,1.039865505,0.3822222222,0.2816500678,0.4294444444
3law,min,0.50,CausalCACTUS,3,0.78,1.028443352,0.3133333333,0.3076898267,0.3633333333
3law,min,0.50,CausalCACTUS,4,0.74,1.037232358,0.3377777778,0.3112356024,0.3866666667
3law,min,0.75,CausalCACTUS,0,0.74,1.046377154,0.34,0.2857404555,0.3905555556
3law,min,0.75,CausalCACTUS,1,0.62,1.051672399,0.4333333333,0.2549714033,0.4911111111
3law,min,0.75,CausalCACTUS,2,0.74,1.037518812,0.3288888889,0.3120145316,0.3772222222
3law,min,0.75,CausalCACTUS,3,0.72,1.030671942,0.3644444444,0.2717725704,0.4161111111
3law,min,0.75,CausalCACTUS,4,0.76,1.039693319,0.3155555556,0.3226504567,0.3694444444
3law,min,0.99,CausalCACTUS,0,0.74,1.04722349,0.3377777778,0.2885509896,0.3894444444
3law,min,0.99,CausalCACTUS,1,0.64,1.051780402,0.4177777778,0.2644316122,0.4761111111
3law,min,0.99,CausalCACTUS,2,0.74,1.03833561,0.3355555556,0.3119074266,0.3827777778
3law,min,0.99,CausalCACTUS,3,0.7,1.029504336,0.38,0.257492131,0.4255555556
3law,min,0.99,CausalCACTUS,4,0.78,1.037031478,0.2977777778,0.3393912126,0.35
3law,mod,0.01,CACTUS,0,0.08,1.038985678,0.5688888889,0.1635187558,0.6133333333
3law,mod,0.01,CACTUS,1,0.12,1.057866436,0.5755555556,0.1698556323,0.6222222222
3law,mod,0.01,CACTUS,2,0.32,1.046868243,0.4644444444,0.2068472629,0.5177777778
3law,mod,0.01,CACTUS,3,0.18,1.029115851,0.4577777778,0.1880366918,0.5162962963
3law,mod,0.01,CACTUS,4,0.08,1.039793824,0.5266666667,0.19010546,0.5725925926
3law,mod,0.25,CACTUS,0,0.28,1.03235481,0.1488888889,0.3664464578,0.2192592593
3law,mod,0.25,CACTUS,1,0.2,1.045503756,0.1755555556,0.3689245818,0.2555555556
3law,mod,0.25,CACTUS,2,0.44,1.035197674,0.2222222222,0.3185861969,0.2977777778
3law,mod,0.25,CACTUS,3,0.32,1.02608304,0.1644444444,0.3226158748,0.2503703704
3law,mod,0.25,CACTUS,4,0.26,1.020209584,0.2422222222,0.3176329664,0.3155555556
3law,mod,0.50,CACTUS,0,0.5,1.036435533,0.1111111111,0.4204535911,0.1896296296
3law,mod,0.50,CACTUS,1,0.38,1.049641371,0.09333333333,0.4386070864,0.1748148148
3law,mod,0.50,CACTUS,2,0.5,1.038443451,0.1711111111,0.3642454623,0.2518518519
3law,mod,0.50,CACTUS,3,0.52,1.029846864,0.1444444444,0.3702426363,0.237037037
3law,mod,0.50,CACTUS,4,0.5,1.037532857,0.12,0.4055700798,0.2207407407
3law,mod,0.75,CACTUS,0,0.6,1.044539409,0.1133333333,0.450793015,0.1955555556
3law,mod,0.75,CACTUS,1,0.54,1.057439938,0.04,0.5013283905,0.1303703704
3law,mod,0.75,CACTUS,2,0.58,1.043749798,0.2266666667,0.3818050467,0.3
3law,mod,0.75,CACTUS,3,0.62,1.047033615,0.2,0.4105614627,0.2681481481
3law,mod,0.75,CACTUS,4,0.56,1.052252218,0.1266666667,0.4425521316,0.2162962963
3law,mod,0.99,CACTUS,0,0.6,1.053038675,0.1111111111,0.4861537122,0.1911111111
3law,mod,0.99,CACTUS,1,0.56,1.059335054,0.08666666667,0.4903665419,0.1614814815
3law,mod,0.99,CACTUS,2,0.62,1.04959282,0.2222222222,0.4046712491,0.297037037
3law,mod,0.99,CACTUS,3,0.64,1.049600732,0.2266666667,0.4214031242,0.2962962963
3law,mod,0.99,CACTUS,4,0.58,1.072912632,0.1222222222,0.4761129579,0.2111111111
3law,mod,0.01,CausalCACTUS,0,0.2,1.051613953,0.82,0.07503246551,0.8274074074
3law,mod,0.01,CausalCACTUS,1,0.22,1.064579615,0.8022222222,0.09016690918,0.8111111111
3law,mod,0.01,CausalCACTUS,2,0.44,1.051513221,0.6022222222,0.1676387983,0.6192592593
3law,mod,0.01,CausalCACTUS,3,0.3,1.038500159,0.7311111111,0.1070836501,0.7459259259
3law,mod,0.01,CausalCACTUS,4,0.16,1.045536371,0.8555555556,0.07249848965,0.8622222222
3law,mod,0.25,CausalCACTUS,0,0.58,1.036389752,0.4822222222,0.243090044,0.5081481481
3law,mod,0.25,CausalCACTUS,1,0.58,1.058934481,0.4755555556,0.2773075562,0.497037037
3law,mod,0.25,CausalCACTUS,2,0.6,1.0377059,0.4644444444,0.2330394792,0.4859259259
3law,mod,0.25,CausalCACTUS,3,0.6,1.031674161,0.4755555556,0.2383283088,0.4918518519
