Dataset,Prior,Model,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
4german,min,CausalCACTUS,0,0.86,1.023027999,0.1633333333,0.492013431,0.3933333333
4german,min,CausalCACTUS,1,0.84,1.039824053,0.1766666667,0.4574225884,0.3833333333
4german,min,CausalCACTUS,2,0.8,1.048157017,0.2033333333,0.478217035,0.4333333333
4german,min,CausalCACTUS,3,0.92,1.02079967,0.1133333333,0.4984124839,0.37
4german,min,CausalCACTUS,4,0.84,1.044437305,0.1866666667,0.4623009133,0.4055555556
4german,mod,LatentCF++,0,1,1.173380654,0.02666666667,0.348436654,0.5383333333
4german,mod,LatentCF++,1,1,1.153121251,0.03666666667,0.3578935835,0.4933333333
4german,mod,LatentCF++,2,1,1.211863028,0.02666666667,0.3637506815,0.5316666667
4german,mod,LatentCF++,3,1,1.153295051,0.02,0.3326239325,0.5
4german,mod,LatentCF++,4,1,1.186316769,0.01666666667,0.3764437735,0.55
4german,mod,Prototype C,0,1,3.280323345,0.01333333333,2.28398879,0.09
4german,mod,Prototype C,1,1,3.164464317,0.003333333333,2.217958636,0.085
4german,mod,Prototype C,2,1,3.122861869,0.01333333333,2.177036818,0.09
4german,mod,Prototype C,3,1,2.886963139,0.01,2.14118976,0.09
4german,mod,Prototype C,4,1,2.972616598,0.01666666667,2.093324505,0.12
4german,mod,Prototype D,0,1,2.292989419,0.02666666667,1.609020006,0.1183333333
4german,mod,Prototype D,1,1,2.138481762,0.02666666667,1.486634782,0.1466666667
4german,mod,Prototype D,2,1,2.099221637,0.01333333333,1.502709027,0.1283333333
4german,mod,Prototype D,3,1,1.959594231,0.01666666667,1.546216984,0.1133333333
4german,mod,Prototype D,4,1,2.171848413,0.01,1.546287898,0.1166666667
4german,mod,CACTUS,0,0.82,1.030615139,0.01333333333,0.5554625891,0.41
4german,mod,CACTUS,1,0.8,1.024697502,0.02333333333,0.5239044927,0.4116666667
4german,mod,CACTUS,2,0.82,1.043317354,0.01,0.5669861881,0.345
4german,mod,CACTUS,3,0.8,1.035558163,0.02,0.5263761367,0.3483333333
4german,mod,CACTUS,4,0.78,1.046189539,0.01,0.5731765076,0.3633333333
4german,mod,CausalCACTUS,0,0.84,1.039075495,0.1733333333,0.4212851329,0.5416666667
4german,mod,CausalCACTUS,1,0.82,1.028202578,0.2,0.3933181905,0.545
4german,mod,CausalCACTUS,2,0.84,1.042250389,0.19,0.4406225941,0.49
4german,mod,CausalCACTUS,3,0.82,1.04171791,0.1966666667,0.3923781203,0.5066666667
4german,mod,CausalCACTUS,4,0.82,1.039872966,0.1933333333,0.4169859302,0.5083333333
5heloc,min,LatentCF++,0,1,1.19146058,0.03666666667,0.3043924935,0.2236111111
5heloc,min,LatentCF++,1,1,1.348159977,0.03666666667,0.3748843673,0.2146296296
5heloc,min,LatentCF++,2,1,1.361608501,0.03,0.3773889726,0.1901851852
5heloc,min,LatentCF++,3,1,1.399019229,0.03777777778,0.408749481,0.2076851852
5heloc,min,LatentCF++,4,1,1.365700497,0.02333333333,0.4794621871,0.1853703704
5heloc,min,Prototype C,0,1,2.740996935,0.02777777778,1.701561019,0.0562037037
5heloc,min,Prototype C,1,1,2.989580747,0.02444444444,1.771824171,0.0462037037
5heloc,min,Prototype C,2,1,2.959591513,0.03444444444,1.669355574,0.06324074074
5heloc,min,Prototype C,3,1,2.9195238,0.03444444444,1.689075087,0.06240740741
5heloc,min,Prototype C,4,1,3.087574061,0.03555555556,1.763682182,0.05638888889
5heloc,min,Prototype D,0,1,2.045067625,0.01666666667,1.30678133,0.04814814815
5heloc,min,Prototype D,1,1,2.094994546,0.01555555556,1.300215615,0.04268518519
5heloc,min,Prototype D,2,1,2.108926492,0.02,1.314131664,0.06018518519
5heloc,min,Prototype D,3,1,1.929853447,0.02777777778,1.169994853,0.0562962963
5heloc,min,Prototype D,4,1,1.82446319,0.02111111111,1.213040451,0.05805555556
5heloc,min,CACTUS,0,0.46,1.085823879,0.03444444444,0.4655003489,0.182037037
5heloc,min,CACTUS,1,0.54,1.197967212,0.04333333333,0.4713620423,0.1933333333
5heloc,min,CACTUS,2,0.48,1.250438397,0.05333333333,0.419020146,0.2253703704
5heloc,min,CACTUS,3,0.62,1.313847233,0.08,0.3884845883,0.2481481481
5heloc,min,CACTUS,4,0.52,1.210668025,0.1033333333,0.4274419593,0.2361111111
5heloc,min,CausalCACTUS,0,0.84,1.085697668,0.1833333333,0.4064092597,0.299537037
