Dataset,Prior,Component,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
3law,mod,phase,CausalCACTUS,0,0.82,1.044705436,0.2155555556,0.3579736624,0.2903703704
3law,mod,phase,CausalCACTUS,1,0.9,1.05857937,0.1288888889,0.4376963009,0.2125925926
3law,mod,phase,CausalCACTUS,2,0.86,1.039127333,0.1577777778,0.4056949855,0.2496296296
3law,mod,phase,CausalCACTUS,3,0.82,1.033913523,0.2111111111,0.343435956,0.2925925926
3law,mod,phase,CausalCACTUS,4,0.8,1.048808021,0.2466666667,0.3623715589,0.3118518519
3law,mod,full,CausalCACTUS,0,0.82,1.038044581,0.2644444444,0.3528588082,0.2903703704
3law,mod,full,CausalCACTUS,1,0.9,1.052487805,0.1866666667,0.4355232077,0.2155555556
3law,mod,full,CausalCACTUS,2,0.88,1.039516781,0.1955555556,0.4144463036,0.2340740741
3law,mod,full,CausalCACTUS,3,0.84,1.034935878,0.2444444444,0.3516958867,0.277037037
3law,mod,full,CausalCACTUS,4,0.8,1.048294085,0.2777777778,0.3536880187,0.3162962963
4german,min,baseline,CACTUS,0,0.84,1.022885533,0.01333333333,0.6013951234,0.2733333333
4german,min,baseline,CACTUS,1,0.84,1.026676731,0.02,0.6042527187,0.2555555556
4german,min,baseline,CACTUS,2,0.82,1.037242667,0.02333333333,0.6281832447,0.2711111111
4german,min,baseline,CACTUS,3,0.92,1.026023427,0.01333333333,0.6023302525,0.2633333333
4german,min,baseline,CACTUS,4,0.88,1.034181529,0.02333333333,0.6084846056,0.2444444444
4german,min,causal,CausalCACTUS,0,0.84,1.02310483,0.01333333333,0.6016001334,0.2811111111
4german,min,causal,CausalCACTUS,1,0.84,1.026540881,0.02333333333,0.6042641425,0.25
4german,min,causal,CausalCACTUS,2,0.82,1.036846413,0.03,0.6281581554,0.2944444444
4german,min,causal,CausalCACTUS,3,0.88,1.020285665,0.02333333333,0.5986994563,0.2633333333
4german,min,causal,CausalCACTUS,4,0.84,1.028121352,0.03666666667,0.6047407861,0.25
4german,min,phase,CausalCACTUS,0,0.86,1.022521004,0.1533333333,0.4942840221,0.3911111111
4german,min,phase,CausalCACTUS,1,0.84,1.039750959,0.1733333333,0.4576062097,0.3833333333
4german,min,phase,CausalCACTUS,2,0.8,1.045088517,0.2,0.4788127387,0.4333333333
4german,min,phase,CausalCACTUS,3,0.92,1.02840888,0.1033333333,0.5050408432,0.3677777778
4german,min,phase,CausalCACTUS,4,0.84,1.052541167,0.1833333333,0.4669678419,0.4055555556
4german,min,full,CausalCACTUS,0,0.86,1.023027999,0.1633333333,0.492013431,0.3933333333
4german,min,full,CausalCACTUS,1,0.84,1.039824053,0.1766666667,0.4574225884,0.3833333333
4german,min,full,CausalCACTUS,2,0.8,1.048157017,0.2033333333,0.478217035,0.4333333333
4german,min,full,CausalCACTUS,3,0.92,1.02079967,0.1133333333,0.4984124839,0.37
4german,min,full,CausalCACTUS,4,0.84,1.044437305,0.1866666667,0.4623009133,0.4055555556
4german,mod,baseline,CACTUS,0,0.82,1.030615139,0.01333333333,0.5554625891,0.41
4german,mod,baseline,CACTUS,1,0.8,1.024697502,0.02333333333,0.5239044927,0.4116666667
4german,mod,baseline,CACTUS,2,0.82,1.043317354,0.01,0.5669861881,0.345
4german,mod,baseline,CACTUS,3,0.8,1.035558163,0.02,0.5263761367,0.3483333333
4german,mod,baseline,CACTUS,4,0.78,1.046189539,0.01,0.5731765076,0.3633333333
4german,mod,causal,CausalCACTUS,0,0.8,1.027971363,0.02333333333,0.5533351811,0.4266666667
4german,mod,causal,CausalCACTUS,1,0.78,1.021896591,0.03666666667,0.5224492962,0.4116666667
4german,mod,causal,CausalCACTUS,2,0.8,1.040646799,0.02,0.5652468591,0.3533333333
4german,mod,causal,CausalCACTUS,3,0.78,1.032779184,0.02333333333,0.5247563243,0.3566666667
4german,mod,causal,CausalCACTUS,4,0.78,1.045956297,0.02666666667,0.5728248406,0.38
4german,mod,phase,CausalCACTUS,0,0.84,1.0367965,0.1733333333,0.4247052198,0.5416666667
4german,mod,phase,CausalCACTUS,1,0.82,1.032335804,0.1966666667,0.3956849462,0.545
4german,mod,phase,CausalCACTUS,2,0.84,1.045873374,0.1833333333,0.4448893288,0.4866666667
4german,mod,phase,CausalCACTUS,3,0.82,1.044832036,0.1866666667,0.3985471161,0.5
4german,mod,phase,CausalCACTUS,4,0.82,1.0398755,0.1933333333,0.4169599197,0.5083333333
4german,mod,full,CausalCACTUS,0,0.84,1.039075495,0.1733333333,0.4212851329,0.5416666667
4german,mod,full,CausalCACTUS,1,0.82,1.028202578,0.2,0.3933181905,0.545
4german,mod,full,CausalCACTUS,2,0.84,1.042250389,0.19,0.4406225941,0.49
4german,mod,full,CausalCACTUS,3,0.82,1.04171791,0.1966666667,0.3923781203,0.5066666667
4german,mod,full,CausalCACTUS,4,0.82,1.039872966,0.1933333333,0.4169859302,0.5083333333
5heloc,min,baseline,CACTUS,0,0.46,1.085823879,0.03444444444,0.4655003489,0.182037037
5heloc,min,baseline,CACTUS,1,0.54,1.197967212,0.04333333333,0.4713620423,0.1933333333
5heloc,min,baseline,CACTUS,2,0.48,1.250438397,0.05333333333,0.419020146,0.2253703704
5heloc,min,baseline,CACTUS,3,0.62,1.313847233,0.08,0.3884845883,0.2481481481
5heloc,min,baseline,CACTUS,4,0.52,1.210668025,0.1033333333,0.4274419593,0.2361111111
5heloc,min,causal,CausalCACTUS,0,0.46,1.084835048,0.05333333333,0.4642052884,0.1933333333
5heloc,min,causal,CausalCACTUS,1,0.54,1.193761052,0.08888888889,0.4662367355,0.2091666667
5heloc,min,causal,CausalCACTUS,2,0.48,1.248117207,0.1088888889,0.4140975725,0.2462962963
5heloc,min,causal,CausalCACTUS,3,0.62,1.308907959,0.1511111111,0.3837761727,0.2700925926
5heloc,min,causal,CausalCACTUS,4,0.52,1.203735818,0.1466666667,0.4208442665,0.2514814815
5heloc,min,phase,CausalCACTUS,0,0.84,1.086030935,0.1811111111,0.4063736261,0.2969444444
5heloc,min,phase,CausalCACTUS,1,0.84,1.213968137,0.1788888889,0.4232321884,0.2774074074
5heloc,min,phase,CausalCACTUS,2,0.78,1.248416538,0.2488888889,0.3629311209,0.3593518519
5heloc,min,phase,CausalCACTUS,3,0.78,1.310342253,0.2411111111,0.3369853086,0.3542592593
5heloc,min,phase,CausalCACTUS,4,0.8,1.216765103,0.2144444444,0.3911013132,0.3231481481
5heloc,min,full,CausalCACTUS,0,0.84,1.085697668,0.1833333333,0.4064092597,0.299537037
5heloc,min,full,CausalCACTUS,1,0.84,1.212366298,0.1855555556,0.4198883148,0.282037037
5heloc,min,full,CausalCACTUS,2,0.78,1.24832748,0.2488888889,0.3626531798,0.3593518519
5heloc,min,full,CausalCACTUS,3,0.78,1.310387058,0.2433333333,0.3366214662,0.3562962963
5heloc,min,full,CausalCACTUS,4,0.8,1.207654974,0.2144444444,0.3846263448,0.3249074074
5heloc,mod,baseline,CACTUS,0,0.36,1.269690635,0.08111111111,0.3950135117,0.2429166667
5heloc,mod,baseline,CACTUS,1,0.62,1.136392521,0.05777777778,0.4699909868,0.1998611111
5heloc,mod,baseline,CACTUS,2,0.46,1.091689206,0.04222222222,0.4786634957,0.1966666667
5heloc,mod,baseline,CACTUS,3,0.62,1.140577723,0.06888888889,0.4494510656,0.2266666667
5heloc,mod,baseline,CACTUS,4,0.62,1.195046363,0.04111111111,0.4756213128,0.2147222222
5heloc,mod,causal,CausalCACTUS,0,0.36,1.266354654,0.1344444444,0.3909845784,0.2591666667
5heloc,mod,causal,CausalCACTUS,1,0.64,1.136472411,0.06888888889,0.4776465278,0.1940277778
5heloc,mod,causal,CausalCACTUS,2,0.46,1.08859867,0.06,0.4765705863,0.2022222222
5heloc,mod,causal,CausalCACTUS,3,0.62,1.138295774,0.09666666667,0.4464207023,0.2345833333
5heloc,mod,causal,CausalCACTUS,4,0.62,1.192796057,0.08444444444,0.4724902808,0.2265277778
5heloc,mod,phase,CausalCACTUS,0,0.78,1.269054857,0.2466666667,0.3495229,0.35875
5heloc,mod,phase,CausalCACTUS,1,0.78,1.146505189,0.2366666667,0.3695981584,0.3483333333
5heloc,mod,phase,CausalCACTUS,2,0.84,1.096478354,0.1788888889,0.4079769855,0.3016666667
5heloc,mod,phase,CausalCACTUS,3,0.8,1.150906414,0.2188888889,0.3619754206,0.3413888889
5heloc,mod,phase,CausalCACTUS,4,0.84,1.195502104,0.1833333333,0.404570607,0.3208333333
5heloc,mod,full,CausalCACTUS,0,0.78,1.269282219,0.2488888889,0.3492886834,0.35875
5heloc,mod,full,CausalCACTUS,1,0.78,1.14581785,0.24,0.3681890104,0.3494444444
5heloc,mod,full,CausalCACTUS,2,0.82,1.086091709,0.2,0.3916767126,0.3183333333
5heloc,mod,full,CausalCACTUS,3,0.8,1.150676484,0.2222222222,0.3618349077,0.3425
5heloc,mod,full,CausalCACTUS,4,0.84,1.194244493,0.1833333333,0.4034411737,0.3208333333
